test_id,q1_skills,q3_answer,q4_worklife,q5_negfilter,rec1,match1%,rec2,match2%,rec3,match3%,rec4,match4%,rec5,match5%,rec6,match6%,rec7,match7%,rec8,match8%
"28 — Diplomat","უცხ.ენები + კომუნ. + წერა","სოც — დიპლ.","საერთ.კარ. + ლიდ.როლი","რუტ.არა","საერთ. ურთ. / პოლიტ.",69,"ენები / ლინგვ.",41,"ტურიზმი / სტუმ.",21,"ბიზ. ადმინისტ.",16,"სამართალი",15,"ჟურნალისტ. / მედია",15,"ჰუმანიტ. მეცნ.",15,"მარკეტინგი / PR",15
"29 — Public Admin.","ლიდერ. + ორგ. + ანალ.","სახ — საჯ.მმ.","ლიდ.როლი + სტაბ.სამ.","-","საერთ. ურთ. / პოლიტ.",61,"სამართალი",43,"ბიზ. ადმინისტ.",33,"საზ. ჯანდაცვა",17,"ექთნობა / მედდა",17,"განათლება / პედ.",17,"ბიზნეს-ინფ. სისტემები",15,"სპორტი / ფიზ. განათ.",15
"30 — Criminologist","ანალ. + წერა + ლოგიკური აზრ.","სამ — კრიმ.","სტაბ.სამ. + მ.ხელფ.","ფიზ.არა","სამართალი",65,"სტომატოლოგია",24,"ფინანსები / ეკონ.",22,"მექატრონიკა / რობოტიკა",21,"პროგრამული ინჟინ. / IT",18,"ელ. ინჟინ. / ენერგეტ.",18,"ბიზ. ადმინისტ.",17,"კიბერუსაფრთხოება",17
"31 — Psychologist","დახ.ადამ. + წერა + ანალ.","ფს — თერ./კონს.","ადამ.კონტ. + სხვ.დახ.","ფიზ.არა","ფსიქოლოგია",70,"სოციალური მუშ.",44,"მედიცინა",37,"ექთნობა / მედდა",30,"განათლება / პედ.",27,"საზ. ჯანდაცვა",18,"ფიზიოთერაპია",15,"მარკეტინგი / PR",15
"32 — Social Worker","დახ.ადამ. + კომუნ. + ორგ.","ფს — სოც.დახ.","სხვ.დახ. + ადამ.კონტ.","ოფ.არა","სოციალური მუშ.",69,"ფსიქოლოგია",47,"განათლება / პედ.",41,"ექთნობა / მედდა",34,"მედიცინა",28,"ფიზიოთერაპია",26,"ტურიზმი / სტუმ.",19,"საზ. ჯანდაცვა",15
"33 — Historian","წერა + კვლევა + ანალ.","ისტ — ისტ.კვლ.","კვლ.საქ. + დამ.სამ.","ფიზ.არა","ჰუმანიტ. მეცნ.",68,"მონაცემები / სტატ. / AI",35,"საბუნ. მეცნ.",32,"ბიომედ. მეცნ.",19,"ფარმაცია",17,"ენები / ლინგვ.",15,"მედიცინა",15,"პროგრამული ინჟინ. / IT",15
"34 — Journalist","წერა + კომუნ. + შემოქ.","ტექსტი — ჟურნ.","ადამ.კონტ. + კრეატ.საქ.","რუტ.არა","ჟურნალისტ. / მედია",51,"მარკეტინგი / PR",31,"დიზაინი / სახ. ხელ.",19,"არქიტექტურა",18,"ჰუმანიტ. მეცნ.",18,"მუსიკა / თეატ. / კინო",18,"ენები / ლინგვ.",15,"ტურიზმი / სტუმ.",15
"35 — Translator/Ling.","უცხ.ენები + წერა + ანალ.","სწ — ლინგვ.","საერთ.კარ. + კვლ.საქ.","-","ენები / ლინგვ.",64,"ჰუმანიტ. მეცნ.",36,"საერთ. ურთ. / პოლიტ.",23,"მონაცემები / სტატ. / AI",17,"ტურიზმი / სტუმ.",17,"საბუნ. მეცნ.",17,"ბიომედ. მეცნ.",15,"ფარმაცია",15
"36 — Teacher (Child)","დახ.ადამ. + შემოქ. + კომუნ.","ბავ — სკ.სწ.","ადამ.კონტ. + სტაბ.სამ.","ოფ.არა","განათლება / პედ.",69,"ფსიქოლოგია",32,"ექთნობა / მედდა",29,"სოციალური მუშ.",26,"მარკეტინგი / PR",18,"მედიცინა",17,"საზ. ჯანდაცვა",17,"ფიზიოთერაპია",15
"37 — Edu-Psychologist","დახ.ადამ. + ანალ. + ორგ.","სწ — სასწ.ფს.","ადამ.კონტ. + სხვ.დახ.","ფიზ.არა","ფსიქოლოგია",70,"განათლება / პედ.",48,"სოციალური მუშ.",39,"ექთნობა / მედდა",34,"მედიცინა",28,"საზ. ჯანდაცვა",18,"ტურიზმი / სტუმ.",16,"ფიზიოთერაპია",15
"38 — Ed.Tech Specialist","პროგ. + ორგ. + კომუნ.","სწ — სასწ.ტექ.","სტაბ.სამ. + დამ.სამ.","-","განათლება / პედ.",55,"ბიზნეს-ინფ. სისტემები",33,"ბიზ. ადმინისტ.",19,"პროგრამული ინჟინ. / IT",18,"მონაცემები / სტატ. / AI",17,"ექთნობა / მედდა",17,"კიბერუსაფრთხოება",16,"სამართალი",15
"39 — Philosophy","წერა + ანალ. + კვლევა","ფილ — ფილოს.","კვლ.საქ. + დამ.სამ.","ფიზ.არა","ჰუმანიტ. მეცნ.",68,"მონაცემები / სტატ. / AI",35,"საბუნ. მეცნ.",32,"ბიომედ. მეცნ.",19,"ფარმაცია",17,"მედიცინა",15,"პროგრამული ინჟინ. / IT",15,"გარემ. / ქიმ. ინჟინ.",15
"40 — Political Analyst","წერა + ანალ. + კომუნ.","სოც — პოლ.","ლიდ.როლი + საერთ.კარ.","-","საერთ. ურთ. / პოლიტ.",68,"სამართალი",27,"ბიზ. ადმინისტ.",24,"ენები / ლინგვ.",18,"ტურიზმი / სტუმ.",17,"ჰუმანიტ. მეცნ.",16,"ჟურნალისტ. / მედია",15,"მარკეტინგი / PR",15
"41 — Graphic Designer","შემოქ. + ხ.ხელ. + პრეზენტ.","გრ — ბრენდ.","კრეატ.საქ. + დამ.სამ.","რუტ.არა","დიზაინი / სახ. ხელ.",74,"მარკეტინგი / PR",32,"მუსიკა / თეატ. / კინო",24,"არქიტექტურა",23,"მონაცემები / სტატ. / AI",15,"პროგრამული ინჟინ. / IT",15,"კიბერუსაფრთხოება",15,"საბუნ. მეცნ.",15
"42 — Architect","შემოქ. + ხ.ხელ. + ანალ.","შენ — არქ.","კრეატ.საქ. + მ.ხელფ.","-","არქიტექტურა",62,"დიზაინი / სახ. ხელ.",26,"მუსიკა / თეატ. / კინო",24,"ფინანსები / ეკონ.",18,"სამართალი",16,"სამოქალაქო ინჟინერია",15,"სტომატოლოგია",15,"მარკეტინგი / PR",15
"43 — Musician","მუსიკა + შემოქ. + პრეზენტ.","მუს — შეს.","კრეატ.საქ. + დამ.სამ.","რუტ.არა + ოფ.არა","მუსიკა / თეატ. / კინო",64,"დიზაინი / სახ. ხელ.",28,"არქიტექტურა",18,"მარკეტინგი / PR",18,"კიბერუსაფრთხოება",15,"საბუნ. მეცნ.",15,"ჰუმანიტ. მეცნ.",15,"ჟურნალისტ. / მედია",15
"44 — Film Director","შემოქ. + ხ.ხელ. + ლიდერ.","კინო — რეჟ.","კრეატ.საქ. + დამ.სამ.","რუტ.არა","მუსიკა / თეატ. / კინო",63,"დიზაინი / სახ. ხელ.",35,"არქიტექტურა",23,"მარკეტინგი / PR",15,"მონაცემები / სტატ. / AI",15,"პროგრამული ინჟინ. / IT",15,"კიბერუსაფრთხოება",15,"ჟურნალისტ. / მედია",15
"45 — Fashion Designer","შემოქ. + ხ.ხელ. + ორგ.","მოდ — დიზ.","კრეატ.საქ. + დამ.სამ.","რუტ.არა","დიზაინი / სახ. ხელ.",74,"მუსიკა / თეატ. / კინო",24,"არქიტექტურა",23,"მარკეტინგი / PR",15,"მონაცემები / სტატ. / AI",15,"პროგრამული ინჟინ. / IT",15,"კიბერუსაფრთხოება",15,"საბუნ. მეცნ.",15
"46 — Sports Coach","სპორტი + ლიდერ. + კომუნ.","სპ — მწვ.","აქტ.მოძრ. + ადამ.კონტ.","ოფ.არა","სპორტი / ფიზ. განათ.",62,"ფიზიოთერაპია",28,"განათლება / პედ.",25,"მედიცინა",17,"მარკეტინგი / PR",15,"ტურიზმი / სტუმ.",15,"ფსიქოლოგია",15,"სოციალური მუშ.",15
"47 — Physiotherapy (Sp)","სპორტი + დახ.ადამ. + ხელ.+ტექ.","სპ — ფ.თ.","აქტ.მოძრ. + სხვ.დახ.","ოფ.არა","ფიზიოთერაპია",74,"სპორტი / ფიზ. განათ.",37,"მედიცინა",33,"ექთნობა / მედდა",19,"ფსიქოლოგია",19,"სოციალური მუშ.",18,"განათლება / პედ.",16,"საზ. ჯანდაცვა",15
"48 — Tourism Manager","უცხ.ენები + კომუნ. + ორგ.","ტ — ტური.","საერთ.კარ. + ადამ.კონტ.","რუტ.არა","ტურიზმი / სტუმ.",76,"ენები / ლინგვ.",28,"ბიზ. ადმინისტ.",23,"საერთ. ურთ. / პოლიტ.",18,"მარკეტინგი / PR",15,"ფსიქოლოგია",15,"სოციალური მუშ.",15,"მედიცინა",15
"49 — Veterinarian","ზუსტ.მეცნ. + ხელ.+ტექ. + კვლევა","ბუნ — ვეტ.","აქტ.მოძრ. + კვლ.საქ.","ოფ.არა + მკ.წ.არა","სოფლ. მეურნ. / ვეტ.",51,"საბუნ. მეცნ.",40,"ბიომედ. მეცნ.",25,"ფარმაცია",22,"მედიცინა",20,"გარემ. / ქიმ. ინჟინ.",18,"ჰუმანიტ. მეცნ.",15,"ფიზიოთერაპია",15
"50 — Natural Scientist","კვლევა + ზუსტ.მეცნ. + ანალ.","ბუნ — ცოცხ.ორგ.","კვლ.საქ. + დამ.სამ.","ადამ.კ.არა","საბუნ. მეცნ.",78,"ბიომედ. მეცნ.",41,"მონაცემები / სტატ. / AI",35,"ფარმაცია",22,"ჰუმანიტ. მეცნ.",22,"პროგრამული ინჟინ. / IT",15,"გარემ. / ქიმ. ინჟინ.",15,"კიბერუსაფრთხოება",15
