test_id,q1_skills,q3_answer,q4_worklife,q5_neg,rec1,match1%,rec2,match2%,rec3,match3%,rec4,match4%,rec5,match5%
"011 — Software (+Research)","კვლ.+პროგ.+ანალ.","IT-პროგ./აპლ.","კვლ.+დ.მ.","ად.კ.","პროგრამული ინჟინ. / IT",57,"მონაცემები / სტატ. / AI",54,"საბუნ. მეცნ.",32,"კიბერუსაფრთხოება",25,"ჰუმანიტ. მეცნ.",22
"012 — Software (FastLearner)","პროგ.+სწ.სწ.+მათ.","IT-პროგ./აპლ.","მ.ხ.+დ.მ.","-","პროგრამული ინჟინ. / IT",81,"მონაცემები / სტატ. / AI",43,"კიბერუსაფრთხოება",40,"ფინანსები / ეკონ.",19,"ბიზნეს-ინფ. სისტემები",17
"013 — Cybersec (IT)","ლოგ.+პროგ.+ანალ.","IT-კიბერ.","მ.ხ.+დ.მ.","ად.კ.","კიბერუსაფრთხოება",71,"პროგრამული ინჟინ. / IT",50,"მონაცემები / სტატ. / AI",30,"ფინანსები / ეკონ.",22,"მექატრონიკა / რობოტიკა",18
"014 — Cybersec (Military)","ლოგ.+პროგ.+სწ.სწ.","სამ-კ.უ.","დ.მ.+მ.ხ.","-","კიბერუსაფრთხოება",75,"პროგრამული ინჟინ. / IT",58,"მონაცემები / სტატ. / AI",29,"სამართალი",19,"მექატრონიკა / რობოტიკა",18
"015 — Cybersec (State Sec)","ანალ.+ლოგ.+კვლ.","სახ-უს.","სტაბ.+მ.ხ.","-","სამართალი",42,"საერთ. ურთ. / პოლიტ.",38,"ფინანსები / ეკონ.",22,"მექატრონიკა / რობოტიკა",21,"საზ. ჯანდაცვა",20
"016 — Cybersec (Intel)","ანალ.+წ.+კვლ.","სამ-ი.ა.","დ.მ.+სტაბ.","-","საერთ. ურთ. / პოლიტ.",44,"მონაცემები / სტატ. / AI",32,"სამართალი",29,"საზ. ჯანდაცვა",20,"ჰუმანიტ. მეცნ.",20
"017 — Cybersec (Research)","კვლ.+ლოგ.+პროგ.","IT-კიბერ.","კვლ.+დ.მ.","ად.კ.","კიბერუსაფრთხოება",60,"მონაცემები / სტატ. / AI",42,"პროგრამული ინჟინ. / IT",39,"საბუნ. მეცნ.",33,"ჰუმანიტ. მეცნ.",22
"018 — Cybersec (FastLearner)","სწ.სწ.+ლოგ.+პროგ.","IT-კიბერ.","მ.ხ.+სტაბ.","ად.კ.","კიბერუსაფრთხოება",65,"პროგრამული ინჟინ. / IT",45,"ბიზნეს-ინფ. სისტემები",28,"მექატრონიკა / რობოტიკა",26,"სამართალი",21
"019 — Cybersec (Mil+Stable)","ანალ.+ლოგ.+ორგ.","სამ-კ.უ.","სტაბ.+მ.ხ.","-","კიბერუსაფრთხოება",55,"სამართალი",35,"პროგრამული ინჟინ. / IT",34,"ბიზ. ადმინისტ.",23,"ფინანსები / ეკონ.",22
"020 — Cybersec (IntlSec)","ანალ.+წ.+ლოგ.","სოც-უსაფ.","სტაბ.+დ.მ.","-","საერთ. ურთ. / პოლიტ.",38,"სამართალი",31,"მონაცემები / სტატ. / AI",24,"პროგრამული ინჟინ. / IT",18,"საბუნ. მეცნ.",17
"021 — Data/AI (Core)","მათ.+ლოგ.+პროგ.","DATA-AI","დ.მ.+მ.ხ.","-","მონაცემები / სტატ. / AI",70,"პროგრამული ინჟინ. / IT",58,"კიბერუსაფრთხოება",32,"მექატრონიკა / რობოტიკა",32,"ფინანსები / ეკონ.",23
"022 — Data/AI (Stats)","მათ.+ანალ.+კვლ.","DATA-სტატ.","კვლ.+დ.მ.","-","მონაცემები / სტატ. / AI",81,"საბუნ. მეცნ.",47,"ფინანსები / ეკონ.",26,"ჰუმანიტ. მეცნ.",22,"ფარმაცია",20
"023 — Data/AI (BizAnal)","ანალ.+მათ.+ორგ.","DATA-ბიზ.","მ.ხ.+დ.მ.","-","ბიზნეს-ინფ. სისტემები",44,"ფინანსები / ეკონ.",34,"ბიზ. ადმინისტ.",30,"პროგრამული ინჟინ. / IT",29,"მონაცემები / სტატ. / AI",24
"024 — Data/AI (FinModel)","მათ.+ანალ.+ლოგ.","DATA-ფინ.","მ.ხ.+სტაბ.","-","ფინანსები / ეკონ.",68,"მონაცემები / სტატ. / AI",35,"მექატრონიკა / რობოტიკა",26,"სამართალი",26,"ბიზ. ადმინისტ.",26
"025 — Data/AI (AcadRes)","კვლ.+ანალ.+მათ.","DATA-კვლ.","კვლ.+დ.მ.","ად.კ.","საბუნ. მეცნ.",69,"მონაცემები / სტატ. / AI",57,"ჰუმანიტ. მეცნ.",31,"ფარმაცია",20,"ბიომედ. მეცნ.",19
"026 — Data/AI (Algorithms2)","მათ.+ლოგ.+პროგ.","DATA-ალგ.","დ.მ.+მ.ხ.","ად.კ.","პროგრამული ინჟინ. / IT",78,"მონაცემები / სტატ. / AI",54,"კიბერუსაფრთხოება",32,"მექატრონიკა / რობოტიკა",32,"ფინანსები / ეკონ.",23
"027 — Data/AI (EconAnal)","ანალ.+მათ.+ლოგ.","ეკ-ანალ.","მ.ხ.+სტაბ.","-","ფინანსები / ეკონ.",64,"მონაცემები / სტატ. / AI",35,"მექატრონიკა / რობოტიკა",26,"სამართალი",26,"ბიზ. ადმინისტ.",26
"028 — Data/AI (Physics→Data)","მათ.+ზ.მეცნ.+კვლ.","ბუნ-ფიზ.","კვლ.+დ.მ.","ად.კ.","საბუნ. მეცნ.",80,"მონაცემები / სტატ. / AI",45,"ფარმაცია",26,"ბიომედ. მეცნ.",25,"ჰუმანიტ. მეცნ.",22
"029 — Data/AI (+Research)","კვლ.+მათ.+ანალ.","DATA-AI","კვლ.+დ.მ.","ად.კ.","მონაცემები / სტატ. / AI",81,"საბუნ. მეცნ.",38,"პროგრამული ინჟინ. / IT",33,"ჰუმანიტ. მეცნ.",22,"ფარმაცია",20
"030 — Data/AI (+Highpay)","პროგ.+მათ.+ანალ.","DATA-AI","მ.ხ.+დ.მ.","-","მონაცემები / სტატ. / AI",69,"პროგრამული ინჟინ. / IT",51,"კიბერუსაფრთხოება",26,"მექატრონიკა / რობოტიკა",26,"ფინანსები / ეკონ.",25
"031 — InfoSys (BIS core)","ორგ.+ლოგ.+სწ.სწ.","IT-ბიზ.+ტექ.","სტაბ.+მ.ხ.","-","ბიზნეს-ინფ. სისტემები",58,"ბიზ. ადმინისტ.",37,"ფინანსები / ეკონ.",26,"პროგრამული ინჟინ. / IT",24,"მექატრონიკა / რობოტიკა",21
"032 — InfoSys (ProjMgmt)","ორგ.+ლოგ.+კომ.","ბიზ-PM","სტაბ.+ადამ.","-","ბიზ. ადმინისტ.",58,"ბიზნეს-ინფ. სისტემები",28,"განათლება / პედ.",28,"ექთნობა / მედდა",27,"ტურიზმი / სტუმ.",19
"033 — InfoSys (IntlBiz)","ენ.+კომ.+ორგ.","ეკ-საერთ.","საერთ.+სტაბ.","-","საერთ. ურთ. / პოლიტ.",57,"ბიზ. ადმინისტ.",41,"ტურიზმი / სტუმ.",26,"ენები / ლინგვ.",19,"ექთნობა / მედდა",17
"034 — InfoSys (IndProcess)","ორგ.+ლოგ.+ხ.+ტ.","ქარ-ინდ.","სტაბ.+მ.ხ.","-","მექ. ინჟინერია",39,"გარემ. / ქიმ. ინჟინ.",39,"მექატრონიკა / რობოტიკა",27,"ელ. ინჟინ. / ენერგეტ.",25,"სამოქალაქო ინჟინერია",23
"035 — InfoSys (+Analysis)","ანალ.+ორგ.+პროგ.","IT-ბიზ.+ტექ.","მ.ხ.+სტაბ.","ად.კ.","ბიზნეს-ინფ. სისტემები",58,"ბიზ. ადმინისტ.",37,"ფინანსები / ეკონ.",28,"სამართალი",26,"მექატრონიკა / რობოტიკა",20
"036 — InfoSys (Leadership)","ლიდ.+ორგ.+ანალ.","ბიზ-PM","ლიდ.+სტაბ.","-","ბიზ. ადმინისტ.",72,"სამართალი",29,"ბიზნეს-ინფ. სისტემები",28,"საერთ. ურთ. / პოლიტ.",22,"საზ. ჯანდაცვა",17
"037 — InfoSys (Tech+Biz)","პროგ.+ორგ.+ლოგ.","IT-ბიზ.+ტექ.","სტაბ.+მ.ხ.","-","ბიზნეს-ინფ. სისტემები",58,"ბიზ. ადმინისტ.",37,"მექატრონიკა / რობოტიკა",26,"ფინანსები / ეკონ.",26,"პროგრამული ინჟინ. / IT",25
"038 — InfoSys (FastLearner)","სწ.სწ.+ორგ.+კომ.","IT-ბიზ.+ტექ.","სტაბ.+ადამ.","-","ბიზნეს-ინფ. სისტემები",58,"ბიზ. ადმინისტ.",33,"განათლება / პედ.",28,"ექთნობა / მედდა",27,"ტურიზმი / სტუმ.",19
"039 — Robotics (CS path)","პროგ.+მათ.+ხ.+ტ.","IT-რობ.","მ.ხ.+დ.მ.","-","მექატრონიკა / რობოტიკა",62,"პროგრამული ინჟინ. / IT",49,"ელ. ინჟინ. / ენერგეტ.",27,"კიბერუსაფრთხოება",26,"მონაცემები / სტატ. / AI",24
"040 — Robotics (Mechatronics)","მათ.+ხ.+ტ.+ლოგ.","ინჟ-მეხ.","მ.ხ.+სტაბ.","-","მექატრონიკა / რობოტიკა",71,"მექ. ინჟინერია",41,"ელ. ინჟინ. / ენერგეტ.",37,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"041 — Robotics (FactoryRob)","ხ.+ტ.+პროგ.+მათ.","ქარ-რობ.","მ.ხ.+სტაბ.","-","მექატრონიკა / რობოტიკა",70,"პროგრამული ინჟინ. / IT",36,"მექ. ინჟინერია",34,"სამოქალაქო ინჟინერია",27,"ელ. ინჟინ. / ენერგეტ.",25
"042 — Robotics (Mech+Elec)","ხ.+ტ.+მათ.+ლოგ.","ქარ-მ.","სტაბ.+მ.ხ.","-","მექ. ინჟინერია",64,"მექატრონიკა / რობოტიკა",41,"ელ. ინჟინ. / ენერგეტ.",39,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"043 — Robotics (ElecSys)","ხ.+ტ.+მათ.+ლოგ.","ქარ-ელ.","სტაბ.+მ.ხ.","ად.კ.","ელ. ინჟინ. / ენერგეტ.",64,"მექატრონიკა / რობოტიკა",41,"მექ. ინჟინერია",39,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"044 — Robotics (no people)","მათ.+პროგ.+ზ.მეცნ.","IT-რობ.","მ.ხ.+დ.მ.","ად.კ.","მექატრონიკა / რობოტიკა",56,"პროგრამული ინჟინ. / IT",49,"კიბერუსაფრთხოება",26,"მონაცემები / სტატ. / AI",24,"საბუნ. მეცნ.",21
"045 — Robotics (Mechatron2)","პროგ.+ხ.+ტ.+ზ.მეცნ.","ინჟ-მეხ.","მ.ხ.+სტაბ.","-","მექატრონიკა / რობოტიკა",65,"მექ. ინჟინერია",41,"ელ. ინჟინ. / ენერგეტ.",37,"სამოქალაქო ინჟინერია",23,"სამართალი",21
"046 — Robotics (Factory2)","პროგ.+ხ.+ტ.+ლოგ.","ქარ-ავტ.","მ.ხ.+სტაბ.","-","მექატრონიკა / რობოტიკა",71,"მექ. ინჟინერია",41,"ელ. ინჟინ. / ენერგეტ.",37,"პროგრამული ინჟინ. / IT",25,"სამოქალაქო ინჟინერია",23
"047 — Robotics (StablePath)","მათ.+ხ.+ტ.+ორგ.","IT-რობ.","სტაბ.+მ.ხ.","-","მექატრონიკა / რობოტიკა",65,"ელ. ინჟინ. / ენერგეტ.",37,"პროგრამული ინჟინ. / IT",30,"სამოქალაქო ინჟინერია",27,"მექ. ინჟინერია",25
"048 — Robotics (IndWorker)","პროგ.+მათ.+ანალ.","IT-რობ.","დ.მ.+მ.ხ.","ად.კ.","მექატრონიკა / რობოტიკა",56,"პროგრამული ინჟინ. / IT",49,"მონაცემები / სტატ. / AI",30,"კიბერუსაფრთხოება",26,"ფინანსები / ეკონ.",25
"049 — Robotics (+Research)","კვლ.+მათ.+ხ.+ტ.","ინჟ-მეხ.","კვლ.+მ.ხ.","-","მექატრონიკა / რობოტიკა",57,"მექ. ინჟინერია",31,"ელ. ინჟინ. / ენერგეტ.",27,"საბუნ. მეცნ.",25,"მონაცემები / სტატ. / AI",24
"050 — Robotics (FactElec)","ხ.+ტ.+მათ.+ზ.მეცნ.","ქარ-ელ.","მ.ხ.+სტაბ.","-","ელ. ინჟინ. / ენერგეტ.",64,"მექ. ინჟინერია",39,"მექატრონიკა / რობოტიკა",35,"სამოქალაქო ინჟინერია",27,"სამართალი",21
"051 — CivilEng (Core)","მათ.+ხ.+ტ.+ანალ.","ინჟ-შენ.","სტაბ.+მ.ხ.","ად.კ.","სამოქალაქო ინჟინერია",66,"მექატრონიკა / რობოტიკა",26,"სამართალი",26,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25
"052 — CivilEng (ConCivil)","მათ.+ხ.+ტ.+ორგ.","მშ-შ.","სტაბ.+მ.ხ.","-","სამოქალაქო ინჟინერია",66,"მექატრონიკა / რობოტიკა",26,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"ბიზ. ადმინისტ.",23
"053 — CivilEng (Roads)","მათ.+ხ.+ტ.+ანალ.","მშ-გ.","სტაბ.+მ.ხ.","-","სამოქალაქო ინჟინერია",66,"მექატრონიკა / რობოტიკა",26,"სამართალი",26,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25
"054 — CivilEng (Mgmt)","ორგ.+ლიდ.+მათ.","მშ-მ.","ლიდ.+სტაბ.","-","ბიზ. ადმინისტ.",49,"სამოქალაქო ინჟინერია",46,"სამართალი",24,"საერთ. ურთ. / პოლიტ.",17,"ექთნობა / მედდა",17
"055 — CivilEng (UrbanPlan)","შემ.+ანალ.+ხ.+ტ.","მშ-ურბ.","კრეატ.+სტაბ.","-","სამოქალაქო ინჟინერია",50,"არქიტექტურა",36,"დიზაინი / სახ. ხელ.",19,"მუსიკა / თეატ. / კინო",18,"მექ. ინჟინერია",17
"056 — CivilEng (+ExactSci)","ზ.მეცნ.+მათ.+ხ.+ტ.","ინჟ-შენ.","სტაბ.+მ.ხ.","-","სამოქალაქო ინჟინერია",66,"მექატრონიკა / რობოტიკა",26,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"სამართალი",21
"057 — CivilEng (+Research)","კვლ.+მათ.+ხ.+ტ.","ინჟ-შენ.","კვლ.+სტაბ.","-","სამოქალაქო ინჟინერია",59,"ფარმაცია",31,"საბუნ. მეცნ.",25,"მონაცემები / სტატ. / AI",24,"გარემ. / ქიმ. ინჟინ.",19
"058 — CivilEng (AltPath)","ანალ.+მათ.+ორგ.","ინჟ-ინდ.","სტაბ.+მ.ხ.","-","გარემ. / ქიმ. ინჟინ.",39,"მექ. ინჟინერია",32,"სამოქალაქო ინჟინერია",30,"სამართალი",26,"ფინანსები / ეკონ.",25
"059 — MechEng (Core)","მათ.+ხ.+ტ.+ლოგ.","ინჟ-მექ.","მ.ხ.+სტაბ.","-","მექ. ინჟინერია",64,"მექატრონიკა / რობოტიკა",46,"ელ. ინჟინ. / ენერგეტ.",34,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"060 — MechEng (Factory)","ხ.+ტ.+მათ.+ლოგ.","ქარ-მ.","სტაბ.+მ.ხ.","-","მექ. ინჟინერია",64,"მექატრონიკა / რობოტიკა",41,"ელ. ინჟინ. / ენერგეტ.",39,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"061 — MechEng (TechServ)","ხ.+ტ.+ორგ.+ლოგ.","ქარ-სერვ.","სტაბ.+მ.ხ.","-","მექ. ინჟინერია",58,"ელ. ინჟინ. / ენერგეტ.",43,"მექატრონიკა / რობოტიკა",27,"სამოქალაქო ინჟინერია",23,"ბიზ. ადმინისტ.",23
"062 — MechEng (IndProcess)","ორგ.+ხ.+ტ.+ანალ.","ინჟ-ინდ.","სტაბ.+მ.ხ.","-","მექ. ინჟინერია",39,"გარემ. / ქიმ. ინჟინ.",39,"სამოქალაქო ინჟინერია",32,"სამართალი",26,"ელ. ინჟინ. / ენერგეტ.",25
"063 — MechEng (Automation)","პროგ.+ხ.+ტ.+მათ.","ქარ-ავტ.","მ.ხ.+სტაბ.","-","მექატრონიკა / რობოტიკა",70,"მექ. ინჟინერია",41,"ელ. ინჟინ. / ენერგეტ.",37,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"064 — MechEng (no people)","მათ.+ხ.+ტ.+ზ.მეცნ.","ინჟ-მექ.","მ.ხ.+სტაბ.","ად.კ.","მექ. ინჟინერია",64,"მექატრონიკა / რობოტიკა",40,"ელ. ინჟინ. / ენერგეტ.",34,"სამოქალაქო ინჟინერია",27,"სამართალი",21
"065 — MechEng (StablePath)","ლოგ.+მათ.+ხ.+ტ.","ინჟ-მექ.","სტაბ.+მ.ხ.","-","მექ. ინჟინერია",64,"მექატრონიკა / რობოტიკა",46,"ელ. ინჟინ. / ენერგეტ.",34,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"066 — MechEng (+Leadership)","ლიდ.+მათ.+ხ.+ტ.","მშ-მ.","ლიდ.+სტაბ.","-","სამოქალაქო ინჟინერია",51,"ბიზ. ადმინისტ.",43,"სამართალი",24,"მექატრონიკა / რობოტიკა",18,"საერთ. ურთ. / პოლიტ.",17
"067 — ElecEng (Core)","მათ.+ლოგ.+ხ.+ტ.","ინჟ-ელ.","მ.ხ.+სტაბ.","ად.კ.","ელ. ინჟინ. / ენერგეტ.",64,"მექატრონიკა / რობოტიკა",46,"მექ. ინჟინერია",34,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"068 — ElecEng (Factory)","ხ.+ტ.+მათ.+ლოგ.","ქარ-ელ.","სტაბ.+მ.ხ.","-","ელ. ინჟინ. / ენერგეტ.",64,"მექატრონიკა / რობოტიკა",41,"მექ. ინჟინერია",39,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"069 — ElecEng (Automation)","პროგ.+ხ.+ტ.+მათ.","ქარ-ავტ.","მ.ხ.+სტაბ.","ად.კ.","მექატრონიკა / რობოტიკა",70,"მექ. ინჟინერია",41,"ელ. ინჟინ. / ენერგეტ.",37,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"070 — ElecEng (+Prog)","მათ.+პროგ.+ხ.+ტ.","ინჟ-ელ.","მ.ხ.+დ.მ.","-","ელ. ინჟინ. / ენერგეტ.",54,"მექატრონიკა / რობოტიკა",37,"პროგრამული ინჟინ. / IT",36,"კიბერუსაფრთხოება",26,"მონაცემები / სტატ. / AI",24
"071 — ElecEng (+ExactSci)","ხ.+ტ.+მათ.+ზ.მეცნ.","ინჟ-ელ.","სტაბ.+მ.ხ.","-","ელ. ინჟინ. / ენერგეტ.",64,"მექატრონიკა / რობოტიკა",40,"მექ. ინჟინერია",34,"სამოქალაქო ინჟინერია",27,"სამართალი",21
"072 — ElecEng (no people 2)","მათ.+ლოგ.+ხ.+ტ.","ქარ-ელ.","სტაბ.+მ.ხ.","ად.კ.","ელ. ინჟინ. / ენერგეტ.",64,"მექატრონიკა / რობოტიკა",41,"მექ. ინჟინერია",39,"სამოქალაქო ინჟინერია",27,"პროგრამული ინჟინ. / IT",24
"073 — ElecEng (Research)","კვლ.+მათ.+ხ.+ტ.","ინჟ-ელ.","კვლ.+სტაბ.","-","ელ. ინჟინ. / ენერგეტ.",55,"მექატრონიკა / რობოტიკა",32,"ფარმაცია",31,"მექ. ინჟინერია",25,"საბუნ. მეცნ.",25
"074 — ElecEng (Stable+High)","ლოგ.+მათ.+ზ.მეცნ.","ინჟ-ელ.","მ.ხ.+სტაბ.","-","ელ. ინჟინ. / ენერგეტ.",57,"მექატრონიკა / რობოტიკა",40,"მექ. ინჟინერია",27,"პროგრამული ინჟინ. / IT",24,"ფარმაცია",24
"075 — EnvEng (Core)","ზ.მეცნ.+კვლ.+ხ.+ტ.","ინჟ-გარ.","კვლ.+აქტ.","-","გარემ. / ქიმ. ინჟინ.",56,"საბუნ. მეცნ.",35,"ბიომედ. მეცნ.",25,"მედიცინა",24,"ფარმაცია",22
"076 — EnvEng (ConEnv)","ხ.+ტ.+კვლ.+ანალ.","მშ-გ.ინჟ.","კვლ.+აქტ.","-","გარემ. / ქიმ. ინჟინ.",57,"საბუნ. მეცნ.",32,"მონაცემები / სტატ. / AI",23,"სამოქალაქო ინჟინერია",19,"ბიომედ. მეცნ.",19
"077 — EnvEng (NaturePath)","ზ.მეცნ.+კვლ.+ანალ.","ბუნ-გ.დ.","კვლ.+აქტ.","-","საბუნ. მეცნ.",63,"გარემ. / ქიმ. ინჟინ.",27,"სოფლ. მეურნ. / ვეტ.",26,"ბიომედ. მეცნ.",25,"მედიცინა",24
"078 — EnvEng (NatEnv)","კვლ.+ზ.მეცნ.+ანალ.","ბუნ-გარ.","კვლ.+დ.მ.","-","საბუნ. მეცნ.",70,"მონაცემები / სტატ. / AI",35,"გარემ. / ქიმ. ინჟინ.",26,"ბიომედ. მეცნ.",25,"ფარმაცია",22
"079 — EnvEng (no people)","ზ.მეცნ.+კვლ.+ანალ.","ინჟ-გარ.","კვლ.+აქტ.","ად.კ.","გარემ. / ქიმ. ინჟინ.",56,"საბუნ. მეცნ.",39,"ბიომედ. მეცნ.",25,"მონაცემები / სტატ. / AI",23,"ფარმაცია",22
"080 — EnvEng (Ecology)","კვლ.+ზ.მეცნ.+ანალ.","ბუნ-ეკ.","კვლ.+აქტ.","-","საბუნ. მეცნ.",63,"გარემ. / ქიმ. ინჟინ.",27,"სოფლ. მეურნ. / ვეტ.",26,"ბიომედ. მეცნ.",25,"მედიცინა",24
"081 — EnvEng (+Active)","ზ.მეცნ.+ხ.+ტ.+კვლ.","ინჟ-გარ.","აქტ.+კვლ.","-","გარემ. / ქიმ. ინჟინ.",56,"საბუნ. მეცნ.",35,"ბიომედ. მეცნ.",25,"მედიცინა",24,"ფარმაცია",22
"082 — EnvEng (GeoEnv)","კვლ.+ზ.მეცნ.+წ.","ტ-გ.კ.","კვლ.+აქტ.","-","საბუნ. მეცნ.",57,"გარემ. / ქიმ. ინჟინ.",30,"სოფლ. მეურნ. / ვეტ.",26,"ბიომედ. მეცნ.",25,"მედიცინა",24
"083 — Architecture (Core)","შემ.+ხ.ხ.+ანალ.","შენ-არქ.","კრეატ.+მ.ხ.","-","არქიტექტურა",62,"დიზაინი / სახ. ხელ.",26,"მუსიკა / თეატ. / კინო",24,"სამოქალაქო ინჟინერია",20,"ფინანსები / ეკონ.",18
"084 — Architecture (Interior)","შემ.+ხ.ხ.+ორგ.","შენ-ინტ.","კრეატ.+მ.ხ.","-","დიზაინი / სახ. ხელ.",59,"არქიტექტურა",43,"მუსიკა / თეატ. / კინო",24,"ბიზ. ადმინისტ.",15,"ფინანსები / ეკონ.",15
"085 — Architecture (Urban)","შემ.+ანალ.+ხ.+ტ.","შენ-ურბ.","კრეატ.+სტაბ.","-","სამოქალაქო ინჟინერია",50,"არქიტექტურა",42,"დიზაინი / სახ. ხელ.",19,"მუსიკა / თეატ. / კინო",18,"მექ. ინჟინერია",17
"086 — Architecture (Landscape)","შემ.+ხ.ხ.+ზ.მეცნ.","შენ-ლდ.","კრეატ.+კვლ.","-","არქიტექტურა",56,"საბუნ. მეცნ.",29,"დიზაინი / სახ. ხელ.",26,"მუსიკა / თეატ. / კინო",24,"ბიომედ. მეცნ.",19
"087 — Architecture (Sustain)","შემ.+ზ.მეცნ.+ანალ.","შენ-მდგ.","კრეატ.+კვლ.","რუტ.","არქიტექტურა",50,"გარემ. / ქიმ. ინჟინ.",26,"საბუნ. მეცნ.",23,"ბიომედ. მეცნ.",19,"დიზაინი / სახ. ხელ.",19
"088 — Architecture (3D Viz)","შემ.+ხ.ხ.+პროგ.","შენ-3D","კრეატ.+დ.მ.","-","დიზაინი / სახ. ხელ.",66,"არქიტექტურა",47,"პროგრამული ინჟინ. / IT",27,"მუსიკა / თეატ. / კინო",24,"მონაცემები / სტატ. / AI",17
"089 — Architecture (ConArch)","შემ.+ხ.ხ.+ორგ.","მშ-არქ.","კრეატ.+მ.ხ.","-","არქიტექტურა",62,"დიზაინი / სახ. ხელ.",26,"მუსიკა / თეატ. / კინო",24,"სამოქალაქო ინჟინერია",22,"ბიზ. ადმინისტ.",15
